_id,preview,title
63ab2093384579048a748157,NASA released an independent review report Tuesday indicating the agency is well positioned for its Mars Sample Return campaign to bring pristine samples from Mars to Earth for scientific study.,Independent Review Indicates NASA Prepared for Mars Sample Return Campaign
63ab2093384579048a748158,"Five years after NASA’s MAVEN spacecraft entered into orbit around Mars, data from the mission has led to the creation of a map of electric current systems in the Martian atmosphere.",MAVEN Maps Electric Currents around Mars that are Fundamental to Atmospheric Loss
63ab2093384579048a748159,"A new paper identifies a ring of minerals at the rover's landing site that are ideal for fossilizing microbial life.","NASA's Mars 2020 Will Hunt for Microscopic Fossils"
63ab2093384579048a74815a,The leadership council for Mars 2020 science added two new members who represent the interests of scientists destined to handle and study the first samples from Red Planet.,NASA Adds Return Sample Scientists to Mars 2020 Leadership Team
63ab2093384579048a74815b,"A crisply rendered web application can show you where the agency's Mars 2020 mission is right now as it makes its way to the Red Planet for a Feb. 18, 2021, landing.","Follow NASA's Perseverance Rover in Real Time on Its Way to Mars"
63ab2093384579048a74815c,"Now that the lander's robotic arm has helped the mole get underground, it will resume science activities that have been on hold.","NASA's InSight Flexes Its Arm While Its 'Mole' Hits Pause"
63ab2093384579048a74815d,"The bit carousel, which lies at the heart of the rover's Sample Caching System, is now aboard NASA's newest rover. ","Robotic Toolkit Added to NASA's Mars 2020 Rover"
63ab2093384579048a74815e,The helicopter will be first aircraft to perform flight tests on another planet.,"NASA's Mars Helicopter Attached to Mars 2020 Rover "
63ab2093384579048a74815f,The first helicopter attempting to fly on another planet is a marvel of engineering. Get up to speed with these key facts about its plans.,"6 Things to Know About NASA's Ingenuity Mars Helicopter"
63ab2093384579048a748160,"In this time-lapse video taken at JPL, engineers move the Mars 2020 rover into a large vacuum chamber for testing in Mars-like environmental conditions.","NASA's Mars 2020 Heads Into the Test Chamber"
63ab2093384579048a748161,Perseverance is one of a few Mars spacecraft carrying laser retroreflectors. The devices could provide new science and safer Mars landings in the future.,"NASA's New Mars Rover Is Ready for Space Lasers"
63ab2093384579048a748162,"The agency's new Mars rover is put through a series of tests in vacuum chambers, acoustic chambers and more to get ready for the Red Planet.","NASA's Perseverance Rover Goes Through Trials by Fire, Ice, Light and Sound"
63ab2093384579048a748163,"Now that the heat probe is just below the Martian surface, InSight's arm will scoop some additional soil on top to help it keep digging so it can take Mars' temperature.","NASA InSight's 'Mole' Is Out of Sight"
63ab2093384579048a748164,"Nine finalists have been chosen in the essay contest for K-12 students across U.S. to name NASA's next Mars rover. Now you can help by voting for your favorite. ","Nine Finalists Chosen in NASA's Mars 2020 Rover Naming Contest"
63ab2093384579048a748165,"Marking its 15th anniversary since launch, one of the oldest spacecraft at the Red Planet has provided glimpses of dust devils, avalanches, and more.","Celebrate Mars Reconnaissance Orbiter's Views From Above"
